strain	clade
Wales/PHWC-24FDC/2020	D
Wales/PHWC-248D1/2020	G
Wales/PHWC-24C11/2020	D
Wales/PHWC-24B32/2020	D
Wales/PHWC-24BD8/2020	D
Wales/PHWC-24D5A/2020	G
Wales/PHWC-24F54/2020	G
Wales/PHWC-24BBA/2020	D
Wales/PHWC-24B8D/2020	D
Wales/PHWC-245AD/2020	D
Wales/PHWC-25023/2020	D
Wales/PHWC-24473/2020	D
Wales/PHWC-24F45/2020	D
Wales/PHWC-247C5/2020	G
Wales/PHWC-247D4/2020	G
Wales/PHWC-24EDF/2020	D
Wales/PHWC-24640/2020	G
Wales/PHWC-246F5/2020	G
Wales/PHWC-2507E/2020	G
Wales/PHWC-24EB1/2020	D
Wales/PHWC-24446/2020	D
Wales/PHWC-24491/2020	G
Wales/PHWC-25041/2020	G
Wales/PHWC-24EFD/2020	G
Wales/PHWC-2466E/2020	D
Wales/PHWC-24DA5/2020	G
Wales/PHWC-24552/2020	D
Wales/PHWC-24C8A/2020	D
Wales/PHWC-24AF9/2020	D
Wales/PHWC-242D3/2020	D
Wales/PHWC-24DF0/2020	D
Wales/PHWC-24983/2020	D
Wales/PHWC-249ED/2020	D
Wales/PHWC-244DD/2020	D
Wales/PHWC-245BC/2020	D
Wales/PHWC-241A9/2020	G
Wales/PHWC-24F09/2020	G
Wales/PHWC-24E93/2020	G
Wales/PHWC-24D1E/2020	G
Wales/PHWC-24F90/2020	G
Wales/PHWC-2433A/2020	D
Wales/PHWC-24112/2020	D
Wales/PHWC-24895/2020	G
Wales/PHWC-24DE1/2020	D
Scotland/CVR20/2020	D
Scotland/CVR208/2020	G
Scotland/CVR211/2020	G
Scotland/CVR235/2020	G
Scotland/CVR236/2020	G
Scotland/CVR124/2020	D
Scotland/CVR222/2020	D
Scotland/CVR264/2020	D
Scotland/CVR462/2020	D
Scotland/CVR635/2020	G
Scotland/CVR268/2020	D
Scotland/CVR562/2020	D
Scotland/CVR632/2020	D
Scotland/CVR114/2020	D
Scotland/CVR133/2020	D
Scotland/CVR37/2020	D
Scotland/CVR42/2020	D
Scotland/CVR132/2020	D
Scotland/CVR123/2020	D
Scotland/CVR163/2020	D
Scotland/CVR125/2020	D
Scotland/CVR153/2020	D
Scotland/CVR40/2020	D
Scotland/CVR130/2020	D
Scotland/CVR134/2020	D
Scotland/CVR35/2020	D
Scotland/CVR195/2020	D
Scotland/CVR206/2020	D
Scotland/CVR43/2020	D
Scotland/CVR45/2020	D
Scotland/CVR46/2020	D
Scotland/CVR47/2020	D
Scotland/CVR44/2020	D
Scotland/CVR201/2020	D
Scotland/CVR203/2020	D
Scotland/CVR168/2020	D
Scotland/CVR171/2020	D
Scotland/CVR169/2020	D
Scotland/CVR149/2020	D
Scotland/CVR139/2020	D
Scotland/CVR200/2020	D
Scotland/CVR126/2020	D
Scotland/CVR207/2020	D
Scotland/CVR115/2020	G
Scotland/CVR144/2020	G
Scotland/CVR142/2020	G
Scotland/CVR122/2020	G
Scotland/CVR27/2020	G
Scotland/CVR136/2020	G
Scotland/CVR21/2020	G
Scotland/CVR143/2020	G
Scotland/CVR25/2020	G
Scotland/CVR155/2020	G
Scotland/CVR49/2020	G
Scotland/CVR17/2020	G
Scotland/CVR63/2020	G
Scotland/CVR41/2020	G
Scotland/CVR147/2020	G
Scotland/CVR38/2020	G
Scotland/CVR152/2020	G
Scotland/CVR213/2020	G
Scotland/CVR32/2020	G
Scotland/CVR215/2020	G
Scotland/CVR117/2020	G
Scotland/CVR18/2020	G
Scotland/CVR19/2020	G
Scotland/CVR131/2020	G
Scotland/CVR54/2020	G
Scotland/CVR57/2020	G
Scotland/CVR62/2020	G
Scotland/CVR60/2020	G
Scotland/CVR58/2020	G
Scotland/CVR159/2020	G
Scotland/CVR219/2020	G
Scotland/CVR70/2020	G
Scotland/CVR140/2020	G
Scotland/CVR174/2020	G
Scotland/CVR176/2020	G
Scotland/CVR212/2020	G
Scotland/CVR183/2020	G
Scotland/CVR177/2020	G
Scotland/CVR199/2020	G
Scotland/CVR165/2020	G
Scotland/CVR51/2020	G
Scotland/CVR135/2020	G
Scotland/CVR164/2020	G
Scotland/CVR28/2020	G
Scotland/CVR36/2020	G
Scotland/CVR29/2020	G
Scotland/CVR15/2020	G
Scotland/CVR31/2020	G
Scotland/CVR12/2020	G
Scotland/CVR128/2020	G
Scotland/CVR78/2020	G
Scotland/CVR129/2020	G
Scotland/CVR52/2020	G
Scotland/CVR53/2020	G
Scotland/CVR66/2020	G
Scotland/CVR55/2020	G
Scotland/CVR220/2020	G
Scotland/CVR34/2020	G
Scotland/CVR23/2020	G
Scotland/CVR166/2020	G
Scotland/CVR30/2020	G
Scotland/CVR56/2020	G
Scotland/CVR67/2020	G
Scotland/CVR72/2020	G
Scotland/CVR77/2020	G
Scotland/CVR76/2020	G
Scotland/CVR64/2020	G
Scotland/CVR69/2020	G
Scotland/CVR68/2020	G
Scotland/CVR74/2020	G
Scotland/CVR118/2020	D
Scotland/CVR71/2020	D
Scotland/CVR141/2020	D
Scotland/CVR150/2020	D
Scotland/CVR16/2020	D
Scotland/CVR172/2020	D
Scotland/CVR161/2020	D
Scotland/CVR196/2020	D
Scotland/CVR33/2020	D
Scotland/CVR218/2020	D
Scotland/CVR137/2020	D
Scotland/CVR202/2020	D
Scotland/CVR180/2020	D
Scotland/CVR191/2020	D
Scotland/CVR162/2020	D
Scotland/CVR175/2020	D
Scotland/CVR65/2020	D
Scotland/CVR179/2020	D
Scotland/CVR75/2020	D
Scotland/CVR13/2020	G
Scotland/CVR170/2020	D
Scotland/CVR190/2020	D
Scotland/CVR120/2020	D
Scotland/CVR634/2020	D
Scotland/CVR205/2020	D
Scotland/CVR14/2020	D
Scotland/CVR50/2020	G
Scotland/CVR173/2020	D
Scotland/CVR178/2020	D
Scotland/CVR216/2020	D
Scotland/CVR24/2020	D
Scotland/CVR185/2020	D
Scotland/CVR526/2020	D
Scotland/CVR138/2020	D
Scotland/CVR146/2020	D
Scotland/CVR151/2020	G
Scotland/CVR167/2020	G
USA/NJ-NYUMC111/2020	D
USA/NY-NYUMC102/2020	D
USA/NJ-NYUMC106/2020	G
USA/NY-NYUMC160/2020	G
USA/NY-NYUMC120/2020	G
USA/NY-NYUMC125/2020	G
USA/NY-NYUMC131/2020	G
USA/NY-NYUMC143/2020	G
USA/NY-NYUMC152/2020	G
USA/NY-NYUMC153/2020	G
USA/NY-NYUMC165/2020	G
USA/NY-NYUMC167/2020	G
USA/NY-NYUMC168/2020	G
USA/NJ-NYUMC84/2020	G
USA/NY-NYUMC110/2020	G
USA/NY-NYUMC114/2020	G
USA/NY-NYUMC133/2020	G
USA/NY-NYUMC161/2020	G
USA/NY-NYUMC109/2020	G
USA/NY-NYUMC121/2020	G
USA/NY-NYUMC13/2020	G
USA/NY-NYUMC132/2020	G
USA/NY-NYUMC175/2020	G
USA/NY-NYUMC103/2020	G
USA/NY-NYUMC119/2020	G
USA/NY-NYUMC107/2020	G
USA/NY-NYUMC162/2020	G
USA/NY-NYUMC164/2020	G
USA/NY-NYUMC122/2020	G
USA/NY-NYUMC140/2020	G
USA/NY-NYUMC159/2020	G
USA/NY-NYUMC156/2020	G
USA/NY-NYUMC169/2020	G
USA/NY-NYUMC174/2020	G
USA/NY-NYUMC12/2020	G
USA/NY-NYUMC17/2020	G
USA/NY-NYUMC170/2020	G
USA/NY-NYUMC11/2020	G
USA/NY-NYUMC15/2020	G
USA/NY-NYUMC141/2020	G
USA/NY-NYUMC134/2020	G
USA/NY-NYUMC147/2020	G
USA/NY-NYUMC108/2020	G
USA/NY-NYUMC130/2020	G
USA/NY-NYUMC137/2020	G
USA/NY-NYUMC173/2020	G
USA/NJ-NYUMC83/2020	G
USA/NY-NYUMC105/2020	G
USA/NY-NYUMC113/2020	G
USA/NY-NYUMC115/2020	G
USA/NY-NYUMC158/2020	G
USA/NY-NYUMC117/2020	G
USA/NY-NYUMC128/2020	G
USA/NY-NYUMC139/2020	G
USA/NY-NYUMC142/2020	G
USA/NY-NYUMC155/2020	G
USA/NY-NYUMC151/2020	G
USA/NY-NYUMC146/2020	G
USA/NY-NYUMC163/2020	G
USA/NY-NYUMC166/2020	G
USA/NY-NYUMC14/2020	G
USA/NY-NYUMC129/2020	G
USA/NY-NYUMC136/2020	G
USA/NY-NYUMC157/2020	G
USA/NY-NYUMC135/2020	G
USA/NY-NYUMC148/2020	G
USA/NY-NYUMC118/2020	G
USA/NY-NYUMC154/2020	G
USA/NY-NYUMC123/2020	G
USA/NY-NYUMC124/2020	G
USA/NY-NYUMC127/2020	G
USA/NY-NYUMC144/2020	G
USA/NY-NYUMC138/2020	G
USA/NY-NYUMC145/2020	G
USA/NY-NYUMC100/2020	G
USA/NY-NYUMC112/2020	G
USA/NY-NYUMC126/2020	G
USA/NY-NYUMC172/2020	G
USA/NY-NYUMC150/2020	G
USA/NY-NYUMC171/2020	G
USA/MN_0100/2020	D
USA/NC_6999/2020	D
USA/NE_6605/2020	D
USA/NE_7025/2020	D
USA/MO_4470/2020	G
USA/NC_0024/2020	G
USA/NC_0031/2020	G
USA/NH_0004/2020	G
USA/NH_0008/2020	G
USA/NH_0033/2020	G
USA/NH_0029/2020	G
USA/NJ_3201/2020	G
USA/NJ_3592/2020	G
USA/NC_0025/2020	G
USA/MN_0101/2020	D
USA/NV_0016/2020	D
USA/NV_0052/2020	D
USA/NY-NYUMC1/2020	D
USA/NY-NYUMC176/2020	D
USA/NY-NYUMC149/2020	G
USA/NY-NYUMC116/2020	G
USA/MN26-MDH26/2020	D
USA/MN29-MDH29/2020	G
USA/MN5-MDH5/2020	G
USA/MN3-MDH3/2020	D
USA/MN41-MDH41/2020	D
USA/MN56-MDH56/2020	D
USA/MN63-MDH63/2020	D
USA/MN64-MDH64/2020	D
USA/MN44-MDH44/2020	D
USA/MN59-MDH59/2020	D
USA/NE-886/2020	D
USA/MN31-MDH31/2020	G
USA/MN45-MDH45/2020	G
USA/MN32-MDH32/2020	G
USA/MN46-MDH46/2020	G
USA/MN43-MDH43/2020	other
USA/MN58-MDH58/2020	other
USA/MN65-MDH65/2020	G
USA/MN38-MDH38/2020	G
USA/MN52-MDH52/2020	G
USA/MN40-MDH40/2020	G
USA/MN55-MDH55/2020	G
USA/MN66-MDH66/2020	G
USA/MN60-MDH60/2020	G
USA/NE-912/2020	G
USA/NE-892/2020	G
USA/NE-875/2020	G
USA/NE-907/2020	G
USA/MN67-MDH67/2020	G
USA/MN35-MDH35/2020	G
USA/MN48-MDH48/2020	G
USA/MN36-MDH36/2020	G
USA/MN51-MDH51/2020	G
USA/MN62-MDH62/2020	G
USA/MN68-MDH68/2020	G
USA/MN34-MDH34/2020	G
USA/MN47-MDH47/2020	G
USA/MN69-MDH69/2020	G
USA/MN42-MDH42/2020	D
USA/MN57-MDH57/2020	D
USA/NC_200173/2020	G
USA/NJ-PV09072/2020	G
USA/MN39-MDH39/2020	D
USA/MN53-MDH53/2020	D
USA/NY-NYUMC104/2020	G
USA/NY-NYUMC101/2020	D
USA/MN25-MDH25/2020	G
USA/MN30-MDH30/2020	G
USA/MN4-MDH4/2020	D
USA/UT-00089/2020	G
USA/UT-00025/2020	G
USA/UT-00289/2020	G
USA/VA-DCLS-0046/2020	G
USA/UT-00028/2020	G
USA/UT-00303/2020	G
USA/UT-00297/2020	G
USA/UT-00349/2020	G
USA/UT-00033/2020	G
USA/UT-00032/2020	G
USA/UT-00159/2020	D
USA/UT-00034/2020	G
USA/UT-00139/2020	G
USA/UT-00022/2020	G
USA/VA-DCLS-0033/2020	G
USA/VA-DCLS-0038/2020	G
USA/UT-00301/2020	G
USA/VA-DCLS-0031/2020	G
USA/VA-DCLS-0055/2020	G
USA/VA-DCLS-0049/2020	G
USA/UT-00346/2020	G
USA/UT-00364/2020	G
USA/VA-DCLS-0007/2020	G
USA/VA-DCLS-0061/2020	G
USA/VA-DCLS-0036/2020	G
USA/VA-DCLS-0039/2020	G
USA/VA-DCLS-0047/2020	G
USA/VA-DCLS-0034/2020	G
USA/VA-DCLS-0052/2020	G
USA/VA-DCLS-0058/2020	G
USA/VA-DCLS-0041/2020	G
USA/VA-DCLS-0040/2020	G
USA/VA-DCLS-0064/2020	G
USA/VA-DCLS-0050/2020	G
USA/VA-DCLS-0005/2020	G
USA/VA-DCLS-0063/2020	G
USA/UT-00023/2020	G
USA/UT-00035/2020	G
USA/VA-DCLS-0012/2020	G
USA/UT-00361/2020	G
USA/VA-DCLS-0020/2020	G
USA/VA-DCLS-0059/2020	G
USA/VA-DCLS-0009/2020	G
USA/VA-DCLS-0008/2020	G
USA/VA-DCLS-0060/2020	G
USA/UT-00090/2020	G
USA/UT-00342/2020	G
USA/UT-00347/2020	G
USA/VA-DCLS-0006/2020	G
USA/UT-00345/2020	G
USA/UT-00287/2020	G
USA/VA-DCLS-0042/2020	G
USA/UT-00300/2020	G
USA/UT-00348/2020	G
USA/UT-00344/2020	G
USA/UT-00350/2020	G
USA/UT-00352/2020	G
USA/VA-DCLS-0016/2020	G
USA/VA-DCLS-0048/2020	G
USA/VA-DCLS-0057/2020	G
USA/UT-00031/2020	G
USA/VA-DCLS-0043/2020	G
USA/VA-DCLS-0044/2020	G
USA/VA-DCLS-0045/2020	G
USA/UT-00291/2020	G
USA/VA-DCLS-0065/2020	G
USA/VA-DCLS-0066/2020	G
USA/VA-DCLS-0067/2020	G
USA/UT-00284/2020	D
USA/VA-DCLS-0017/2020	D
USA/VA-DCLS-0019/2020	D
USA/VA-DCLS-0001/2020	D
USA/VA-DCLS-0011/2020	D
USA/VA-DCLS-0002/2020	D
USA/VA-DCLS-0003/2020	D
USA/VA-DCLS-0018/2020	D
USA/VA-DCLS-0004/2020	D
USA/WA-S14/2020	D
USA/VA-DCLS-0010/2020	D
USA/UT_8199/2020	D
USA/WA-NH19/2020	D
USA/WA-NH22/2020	D
USA/WA-NH23/2020	D
USA/WA-NH24/2020	D
USA/WA-NH6/2020	D
USA/WA-NH7/2020	D
USA/WA-NH18/2020	D
USA/WA-NH4/2020	D
USA/WA-NH8/2020	D
USA/WA-NH5/2020	D
USA/VA_6382/2020	D
USA/WA-NH13/2020	D
USA/WA-S10/2020	D
USA/WA-S100/2020	D
USA/WA-S101/2020	D
USA/WA-S102/2020	D
USA/WA-S103/2020	D
USA/WA-S108/2020	D
USA/WA-S115/2020	D
USA/WA-S118/2020	D
USA/WA-S12/2020	D
USA/WA-S15/2020	D
USA/WA-S16/2020	D
USA/WA-S2/2020	D
USA/WA-S3/2020	D
USA/WA-S36/2020	D
USA/WA-S38/2020	D
USA/WA-S39/2020	D
USA/WA-S122/2020	D
USA/WA-S13/2020	D
USA/WA-S40/2020	D
USA/WA-S105/2020	D
USA/WA-S121/2020	D
USA/WA-S26/2020	D
USA/WA-S29/2020	D
USA/WA-S43/2020	D
USA/WA-S34/2020	D
USA/WA-S32/2020	D
USA/WA-S104/2020	D
USA/WA-S42/2020	D
USA/WA-S31/2020	D
USA/WA-S19/2020	D
USA/WA-S23/2020	D
USA/WA-S106/2020	D
USA/WA-S107/2020	D
USA/WA-S113/2020	D
USA/WA-S119/2020	D
USA/WA-S110/2020	D
USA/WA-S30/2020	D
USA/WA-S35/2020	D
USA/WA-S120/2020	D
USA/VA_6171/2020	D
USA/UT_8906/2020	G
USA/VA_6352/2020	G
USA/VA_6377/2020	G
USA/VA_6389/2020	G
USA/VA-DCLS-0054/2020	G
USA/VA-DCLS-0053/2020	G
USA/VA-DCLS-0024/2020	D
USA/VA-DCLS-0068/2020	G
USA/VA-DCLS-0021/2020	D
USA/WA-S37/2020	D
USA/VA-DCLS-0051/2020	D
USA/VA-DCLS-0056/2020	D
USA/UT-00290/2020	G
USA/VA-DCLS-0014/2020	G
USA/UT-00055/2020	D
USA/UT-00288/2020	D
USA/UT-00027/2020	G
USA/WA-S41/2020	D
USA/UT-00010/2020	D
USA/UPHL-01/2020	D
USA/UPHL-03/2020	D
USA/UT-00020/2020	D
USA/UT-00012/2020	D
USA/UT-00016/2020	D
USA/UT-00014/2020	D
USA/NY-WCMP9G04P/2020	G
USA/NY_1922/2020	G
USA/NY_2929/2020	G
USA/OH_0023/2020	G
USA/RI_0702/2020	G
USA/PA_2887/2020	G
USA/RI_0882/2020	G
USA/PA_1881/2020	G
USA/PA_2317/2020	G
USA/PA_2937/2020	G
USA/PA_4395/2020	G
USA/TX_2817/2020	G
USA/TX_2967/2020	G
USA/PA_4405/2020	G
USA/PA_1802/2020	G
USA/RI_0520/2020	G
USA/RI_0556/2020	G
USA/SC_3572/2020	G
USA/OH_0019/2020	G
USA/OH_0020/2020	G
USA/PA_2735/2020	G
USA/PA_2734/2020	G
USA/NY-Yale-022/2020	G
USA/NY-Yale-025/2020	G
USA/NY-Yale-030/2020	G
USA/UPHL-05/2020	G
USA/NY-Yale-026/2020	G
USA/UT-00019/2020	G
USA/OR_2656/2020	D
USA/OR_5430/2020	D
USA/TX_2020/2020	D
USA/TX_2039/2020	D
USA/OR-UW-4300/2020	G
USA/UT-00009/2020	G
USA/UT-00008/2020	G
USA/NY-Wadsworth-10495-01/2020	G
USA/NY-Wadsworth-10703-01/2020	G
USA/NY-Wadsworth-10704-01/2020	G
USA/NY-Wadsworth-10955-01/2020	G
USA/NY-Wadsworth-10957-02/2020	G
USA/NY-Wadsworth-10958-01/2020	G
USA/NY-Wadsworth-10999-01/2020	G
USA/NY-Wadsworth-11003-01/2020	G
USA/NY-Wadsworth-11017-01/2020	G
USA/NY-Wadsworth-11180-01/2020	G
USA/NY-Wadsworth-11284-01/2020	G
USA/NY-Wadsworth-11344-01/2020	G
USA/NY-Wadsworth-11353-01/2020	G
USA/NY-Wadsworth-11354-01/2020	G
USA/NY-Wadsworth-11379-01/2020	G
USA/NY-Wadsworth-11666-01/2020	G
USA/NY-Wadsworth-11736-02/2020	G
USA/NY-Wadsworth-15616-01/2020	G
USA/NY-Wadsworth-16004-01/2020	G
USA/NY-Wadsworth-22503-01/2020	G
USA/NY-Wadsworth-26088-01/2020	G
USA/NY-Wadsworth-27162-01/2020	G
USA/NY-Wadsworth-30878-01/2020	G
USA/NY-Wadsworth-31364-01/2020	G
USA/NY-Wadsworth-31488-01/2020	G
USA/NY-Wadsworth-32104-01/2020	G
USA/NY-Wadsworth-10496-01/2020	G
USA/NY-Wadsworth-11291-01/2020	G
USA/NY-Wadsworth-11380-01/2020	G
USA/NY-Wadsworth-16166-01/2020	G
USA/NY-Wadsworth-27073-01/2020	G
USA/NY-Wadsworth-27804-01/2020	G
USA/NY-Wadsworth-10707-01/2020	G
USA/NY-Wadsworth-16480-01/2020	G
USA/NY-Wadsworth-22874-01/2020	G
USA/NY-Wadsworth-32851-01/2020	G
USA/NY-Wadsworth-10528-01/2020	G
USA/NY-Wadsworth-10695-01/2020	G
USA/NY-Wadsworth-10935-01/2020	G
USA/NY-Wadsworth-13468-02/2020	G
USA/NY-Wadsworth-31930-01/2020	G
USA/NY-Wadsworth-11202-01/2020	G
USA/NY-Wadsworth-11207-01/2020	G
USA/NY-Wadsworth-25860-01/2020	G
USA/NY-Wadsworth-26551-01/2020	G
USA/NY-Wadsworth-31302-01/2020	G
USA/NY-Wadsworth-12883-02/2020	G
USA/NY-Wadsworth-29275-01/2020	G
USA/NY-Wadsworth-30246-01/2020	G
USA/NY-Wadsworth-31617-01/2020	G
USA/NY-Wadsworth-10690-01/2020	G
USA/NY-Wadsworth-16766-01/2020	G
USA/NY-Wadsworth-16833-01/2020	G
USA/NY-Wadsworth-16080-01/2020	G
USA/NY-Wadsworth-11190-01/2020	G
USA/NY-Wadsworth-11249-01/2020	G
USA/NY-Wadsworth-11245-01/2020	G
USA/NY-Wadsworth-11191-01/2020	G
USA/NY-Wadsworth-11330-01/2020	G
USA/NY-Wadsworth-11717-01/2020	G
USA/NY-Wadsworth-11735-01/2020	G
USA/OR-UW-4388/2020	G
USA/UN-UW-1307/2020	G
USA/UN-UW-2139/2020	G
USA/OR-UW-1885/2020	G
USA/UN-UW-2069/2020	G
USA/UN-UW-1291/2020	G
USA/UN-UW-1292/2020	G
USA/OR-UW-1849/2020	D
USA/UN-UW-1816/2020	D
USA/UN-UW354/2020	D
USA/UN-UW-1817/2020	D
USA/OR-UW-1851/2020	D
USA/OR-UW-1887/2020	D
USA/UN-UW-1312/2020	D
USA/UN-UW-1791/2020	D
USA/UN-UW-1818/2020	D
USA/UN-UW276/2020	D
USA/OR-UW-1937/2020	D
USA/UN-UW-1403/2020	D
USA/UN-UW219/2020	D
USA/UN-UW382/2020	D
USA/UN-UW-1407/2020	G
USA/OR-UW135/2020	G
USA/OH-OSUP0017/2020	G
USA/OH-OSUP0112/2020	G
USA/OH-OSUP0109/2020	G
USA/NY-Wadsworth-10683-01/2020	D
USA/NY-Wadsworth-11000-01/2020	D
USA/NY-Wadsworth-14726-02/2020	D
USA/NY-Wadsworth-26856-01/2020	D
USA/NY-Wadsworth-30164-01/2020	D
USA/NY2-PV08100/2020	D
USA/OH-OSUP0016/2020	D
USA/SC_3520/2020	D
USA/SC_3569/2020	D
USA/SC_3570/2020	D
USA/SC_3571/2020	D
USA/SC_3575/2020	D
USA/SC_6370/2020	D
USA/TX1/2020	D
USA/NY1-PV08001/2020	D
USA/UN-UW-1402/2020	D
USA/UN-UW-1834/2020	D
USA/UT-00021/2020	G
USA/UN-UW-1832/2020	D
USA/UT-00011/2020	G
USA/OH-OSUP0014/2020	G
Spain/Irsi-04/2020	G
Slovakia/SK-BMC1/2020	G
SouthAfrica/R03006-20/2020	G
Slovakia/SK-BMC5/2020	G
SouthAfrica/KRISP_0007/2020	G
SouthAfrica/KRISP_0011/2020	G
Shanghai/SH01/2020	D
Singapore/1/2020	D
Singapore/26/2020	D
Singapore/31/2020	D
Singapore/33/2020	D
Singapore/34/2020	D
Singapore/28/2020	D
Singapore/29/2020	D
Singapore/32/2020	D
Singapore/24/2020	D
Singapore/2/2020	D
Singapore/6/2020	D
Singapore/12/2020	D
Singapore/14/2020	D
Singapore/22/2020	D
Singapore/23/2020	D
Singapore/13/2020	D
Singapore/30/2020	D
Spain/Andalucia201617/2020	D
Spain/CastillaLaMancha201328/2020	D
Spain/CastillaLaMancha201329/2020	D
Spain/Galicia201663/2020	G
Spain/Madrid201442/2020	G
Spain/Madrid201105/2020	G
Spain/Madrid201706/2020	G
Spain/CastillayLeon201061/2020	G
Spain/Canarias201495/2020	D
Spain/LaRioja201575/2020	D
Spain/CastillayLeon201323/2020	D
Spain/CastillayLeon201372/2020	D
Spain/CastillayLeon201437/2020	D
Spain/Andalucia201373/2020	D
Spain/Andalucia201272/2020	D
Shangrao/JX105/2020	D
Shangrao/JX1948/2020	D
Shangrao/JX29/2020	D
Shangrao/JX1178/2020	D
Shangrao/JX1215/2020	D
Shangrao/JX1974/2020	D
Shangrao/JX1176/2020	D
Shangrao/JX1177/2020	D
Shenzhen/HKU-SZ-005/2020	D
Shenzhen/SZTH-002/2020	D
Singapore/17/2020	D
Singapore/7/2020	D
Singapore/9/2020	D
Singapore/10/2020	D
Singapore/3/2020	D
Singapore/5/2020	D
Singapore/12Clin/2020	D
Singapore/16/2020	D
Singapore/14Clin/2020	D
Singapore/21/2020	D
Singapore/19/2020	D
Singapore/15/2020	D
Singapore/18/2020	D
Sichuan/IVDC-SC-001/2020	D
Shenzhen/SZTH-003/2020	D
Singapore/20/2020	D
Singapore/4/2020	D
Shenzhen/HKU-SZ-002/2020	D
SouthKorea/KUMC03/2020	D
SouthKorea/KUMC04/2020	D
SouthKorea/KUMC05/2020	D
SouthKorea/KUMC06/2020	D
SouthKorea/KUMC02/2020	D
SouthKorea/KCDC03/2020	D
Singapore/11/2020	D
Singapore/25/2020	D
Slovakia/SK-BMC6/2020	D
Singapore/3Clin/2020	D
Singapore/8/2020	D
Singapore/35/2020	D
Singapore/36/2020	D
Slovenia/808/2020	D
Singapore/37/2020	G
Singapore/38/2020	G
Singapore/39/2020	G
Singapore/27/2020	D
Singapore/40/2020	D
Singapore/41/2020	D
Singapore/42/2020	D
SouthAfrica/KRISP_0006/2020	D
Shanghai/SH0054/2020	D
Shanghai/SH0067/2020	D
Shanghai/SH0119/2020	D
Shanghai/SH0121/2020	D
Shanghai/SH0077/2020	D
Shanghai/SH0101/2020	D
Shanghai/SH0102/2020	D
Shanghai/SH0065/2020	D
Shanghai/SH0074/2020	D
Shanghai/SH0115/2020	D
Shanghai/SH0114/2020	D
Shanghai/SH0069/2020	D
Shanghai/SH0079/2020	D
Shanghai/SH0128/2020	D
Shanghai/SH0110/2020	D
Shanghai/SH0117/2020	D
Shanghai/SH0055/2020	D
Shanghai/SH0073/2020	D
Shanghai/SH0109/2020	D
Shanghai/SH0093/2020	D
Shanghai/SH0083/2020	D
Shanghai/SH0107/2020	D
Shanghai/SH0058/2020	D
Shanghai/SH0070/2020	D
Shanghai/SH0080/2020	D
Shanghai/SH0060/2020	D
Shanghai/SH0076/2020	D
Shanghai/SH0112/2020	D
Shanghai/SH0127/2020	D
Shanghai/SH0088/2020	D
Shanghai/SH0075/2020	D
Shanghai/SH0066/2020	D
Shanghai/SH0091/2020	D
Shanghai/SH0059/2020	D
Shanghai/SH0085/2020	D
Shanghai/SH0094/2020	D
Shanghai/SH0081/2020	D
Shanghai/SH0125/2020	D
Shanghai/SH0126/2020	D
Shanghai/SH0056/2020	D
Shanghai/SH0098/2020	D
Shanghai/SH0068/2020	D
Shanghai/SH0100/2020	D
Shanghai/SH0086/2020	G
Slovakia/SK-BMC2/2020	G
SouthKorea/KCDC05/2020	D
SouthKorea/KCDC06/2020	D
SouthKorea/KCDC07/2020	D
SouthKorea/KCDC12/2020	D
SouthKorea/KCDC24/2020	D
SouthKorea/KUMC01/2020	D
Shanghai/SH0071/2020	D
Shanghai/SH0072/2020	D
Slovenia/12304/2020	G
Slovenia/4584/2020	G
Slovenia/MB0329/2020	D
Shanghai/SH0106/2020	D
SouthAfrica/KRISP_0002/2020	D
Spain/Madrid201449/2020	D
SouthAfrica/KRISP_0012/2020	G
Shanghai/SH0104/2020	D
Wales/PHWC-23966/2020	D
Wales/PHWC-23D6A/2020	D
Vietnam/19-01S/2020	D
Vietnam/19-02S/2020	D
Wales/PHWC-23CD6/2020	D
Wales/PHWC-23D2E/2020	D
Wales/PHWC-23EC1/2020	D
Wales/PHWC-23CC7/2020	D
USA/WI-GMF-00228/2020	D
USA/WY-WYPHL001/2020	D
USA/WY-WYPHL011/2020	D
USA/WY-WYPHL012/2020	D
USA/WY-WYPHL018/2020	D
Uruguay/UY-6-2/2020	D
Uruguay/UY-8/2020	D
USA/WI-GMF-00232/2020	G
USA/WI-GMF-00466/2020	G
USA/WI-GMF-00498/2020	G
USA/WI-GMF-00557/2020	G
USA/WY-WYPHL010/2020	G
USA/WY-WYPHL015/2020	G
USA/WY-WYPHL004/2020	G
USA/WY-WYPHL006/2020	G
USA/WY-WYPHL007/2020	G
USA/WY-WYPHL008/2020	G
USA/WY-WYPHL019/2020	G
USA/WY-WYPHL005/2020	G
USA/WI-GMF-00588/2020	G
USA/WY-WYPHL014/2020	G
USA/WI-GMF-00281/2020	G
USA/WI-GMF-00986/2020	G
USA/WI-GMF-00744/2020	G
USA/WI-GMF-00921/2020	G
Wales/PHWC-23DF1/2020	D
Wales/PHWC-23E2B/2020	D
Wales/PHWC-23E76/2020	D
Wales/PHWC-23D79/2020	D
Wales/PHWC-23EFE/2020	D
USA/WI1/2020	D
Vietnam/CM99/2020	D
USA/WI-GMF-00018/2020	G
Wales/PHWC-23BE8/2020	G
Wales/PHWC-23C21/2020	D
USA/WI-48/2020	G
USA/WI-56/2020	G
USA/WI-62/2020	G
USA/WI-68/2020	G
USA/WI-72/2020	G
USA/WI-98/2020	G
